"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"INTELSAT 20",38740,46,-0.02938654,68.4753764,35786.78,210.54,66.57,83.28401447,-3.0416229,1629687630,FALSE
"SOCRATES",39768,47,5.25252586,-45.15363992,612.14,286.99,-58.44,305.19260687,-6.33651475,1629687631,TRUE
"TESS",43435,48,-11.20203549,34.89347795,258123.73,239.55,37.23,50.45972377,-11.87169921,1629687632,FALSE
"KEPLER-2 (TARS)",46319,49,82.55364208,-160.69772254,541.92,6.6,-35.38,268.37829401,36.85479477,1629687634,FALSE
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,50,41.17029699,123.94865715,426.65,48.88,-18.37,226.70902453,30.24982121,1629689403,FALSE
"MARS ORBITER MISSION",39370,51,270,-114.17487391,-6399.59,360,-89.89,282.33547501,-17.29228218,1629689405,FALSE
"RESOURCESAT 2",37387,51,39.63241731,-83.53887717,827.66,343.93,-58.35,290.99596274,13.05038368,1629689407,TRUE
"YOUTHSAT",37388,51,-40.16854952,-103.08178877,835.62,176.89,-78.02,281.58558163,-29.39418338,1629689408,TRUE
"SWAYAM",41607,52,24.08313777,88.32277478,484.5,52.42,14.49,187.92944318,39.99204976,1629689410,FALSE
"CARTOSAT 2AT",29710,52,13.17374059,118.25335077,603.71,90.51,-11.9,203.64850099,-3.80546559,1629689411,FALSE
"OCEANSAT 2",35931,51,-50.23233712,115.99854833,742.49,156.09,-33.56,233.75742714,-63.04930458,1629689414,FALSE
"IRNSS-1A",39199,51,-5.49284619,56.88634813,35866.2,224.91,53.61,77.33024713,-9.27010304,1629689418,FALSE
"INS-1A",41949,48,53.29921309,-97.33486219,499.82,357.34,-53.16,284.19375227,19.36916593,1629689424,FALSE
"KALAMSAT-V2/PSLV",43948,48,26.04584956,151.71254893,442.47,68.39,-31.03,228.8457751,8.60105737,1629689425,FALSE
"CHINASAT 2E",49062,48,-2.98735654,162.68794929,30726.1,94.57,-5.23,196.10619558,-5.79582756,1629689426,FALSE
"COSMOS 2550",48865,47,7.50235728,173.93587679,465.49,81.14,-44.54,237.36686018,-5.90743019,1629689429,FALSE
"CHALLENGEONE",47956,47,4.54197753,-67.75214305,552.07,300.34,-69.17,300.45240765,-6.20849508,1629689430,TRUE
"CALSPHERE 1",900,46,-65.44529996,11.65357888,1015.2,202.77,-44.62,312.41994811,-56.82565159,1629689432,FALSE
"HISPASAT 1D",27528,46,1.03350208,-142.94720739,35787.95,69.95,-50.73,245.98851721,-1.33498499,1629689433,FALSE
"INTEGRAL",27540,45,60.22273294,-175.31781625,124954.74,28.74,4.51,213.80956748,59.15871226,1629689435,FALSE
"ASIASAT 4",27718,45,-0.15556087,38.17615715,35786.82,250.42,39.99,56.21224279,-3.11148264,1629689436,FALSE
"INMARSAT 4-F1",28628,45,2.38112941,143.57864914,35772.75,95.4,16.09,175.55520108,-0.08489674,1629689437,FALSE
"CUBESAT XI-V",28895,46,56.54497367,-29.6720109,682.64,328.19,-39.44,309.50211264,25.78102223,1629689438,FALSE
"PAKSAT 1R",37779,45,0.00140504,38.0237615,35770.64,250.72,39.91,56.0567273,-2.93727188,1629689440,FALSE
"NIGERIASAT X",37790,45,26.41870523,-101.80149693,698.94,0.36,-66.93,282.39859621,5.63446356,1629689441,TRUE
"INTELSAT 20",38740,46,-0.02433121,68.47534876,35785.63,210.55,66.58,90.85880427,-3.01994971,1629689443,FALSE
"SOCRATES",39768,47,61.49920277,142.67589674,625.88,29.05,-26.92,249.61406864,37.55052036,1629689444,FALSE
"TESS",43435,48,-11.11167986,27.67432099,259355.98,244.11,31.12,50.71009576,-11.75151201,1629689446,FALSE
"KEPLER-2 (TARS)",46319,49,-24.38813883,99.76467927,541.08,152.79,-17.91,197.74716902,-63.92547395,1629689447,FALSE
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,50,-42.61557621,-153.80450361,434.34,130.99,-63.77,266.32843055,-32.97766321,1629691203,FALSE
"MARS ORBITER MISSION",39370,50,270,-121.69123023,-6399.59,0,-89.89,289.85321719,-17.3074337,1629691204,FALSE
"RESOURCESAT 2",37387,50,33.10981825,101.81365243,822.37,48.83,1.48,212.90919879,39.66069852,1629691205,FALSE
"YOUTHSAT",37388,51,64.9485274,-135.90342241,813.05,13.91,-43.66,278.63594243,27.5979294,1629691206,FALSE
"SWAYAM",41607,51,-82.7744318,-11.12088081,525.2,187.63,-52.03,297.90935486,-54.91688186,1629691207,FALSE
"CARTOSAT 2AT",29710,51,-79.13640212,-25.29834928,545.1,191.3,-53.28,300.98035561,-53.12915788,1629691208,FALSE
"OCEANSAT 2",35931,50,-20.81614048,-58.28797861,732.19,258.35,-68.41,312.49790837,-20.51818344,1629691210,TRUE
"IRNSS-1A",39199,51,-1.58131339,55.76622987,35866.26,232.01,55.81,83.54181211,-4.77890914,1629691211,FALSE
"INS-1A",41949,51,12.38421632,86.66446501,484.06,120.98,19.43,170.26019666,-20.88800382,1629691212,FALSE
"KALAMSAT-V2/PSLV",43948,51,-81.12849651,59.46664039,467.25,182.94,-47.85,293.54486792,-59.50253307,1629691213,FALSE
"CHINASAT 2E",49062,52,-1.05904932,159.63778047,32679.15,93.66,-1.28,200.05886793,-3.76302995,1629691214,FALSE
"COSMOS 2550",48865,52,-62.47453078,-63.9773636,482.64,201.1,-63.07,302.4759273,-42.10442281,1629691215,TRUE
"CHALLENGEONE",47956,52,-71.65875725,127.64552427,591.91,166.07,-45.25,270.10086446,-59.77762741,1629691216,FALSE
"CALSPHERE 1",900,51,36.53640986,3.71448559,1010.33,303,-27.63,341.69500908,18.62551266,1629691218,FALSE
"HISPASAT 1D",27528,51,0.78333836,-142.95158831,35790.65,70.27,-50.83,253.44964043,-1.57399631,1629691220,FALSE
"INTEGRAL",27540,51,59.95687526,177.9757383,126520.34,30.13,7.62,214.6555864,59.15812706,1629691221,FALSE
"ASIASAT 4",27718,51,-0.12942998,38.17607351,35785.69,250.45,40,63.67437845,-3.06886346,1629691222,FALSE
"INMARSAT 4-F1",28628,52,2.04399677,143.58122723,35773.25,95.75,15.98,183.01784067,-0.43978618,1629691223,FALSE
"CUBESAT XI-V",28895,52,13.66044696,157.16486915,693.87,79.95,-33.87,235.11207129,-1.49521483,1629691225,FALSE
"PAKSAT 1R",37779,51,-0.00318433,38.02920345,35770.15,250.71,39.92,63.52514014,-2.92885103,1629691226,FALSE
"NIGERIASAT X",37790,51,44.18345688,82.45671995,695.86,6.33,-1.32,271.29070583,70.23128205,1629691227,FALSE
"INTELSAT 20",38740,52,-0.01893261,68.47572275,35784.51,210.55,66.58,98.31696734,-2.99815941,1629691228,FALSE
"SOCRATES",39768,52,-47.47721732,111.96060308,637.87,156.7,-31.96,238.75254982,-64.30079499,1629691229,FALSE
"TESS",43435,52,-11.02320602,20.57112937,260560.49,247.87,24.9,50.97076773,-11.63187723,1629691230,FALSE
"KEPLER-2 (TARS)",46319,52,-43.23146121,-77.21701982,550.36,213.71,-72.89,300.94932431,-31.35927775,1629691231,TRUE
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,50,-3.59095455,-30.63987009,421.25,272.43,-53.34,335.01674898,-12.57855588,1629693002,TRUE
"MARS ORBITER MISSION",39370,51,270,-129.20758656,-6399.59,0,-89.89,297.37156348,-17.3218715,1629693003,FALSE
"RESOURCESAT 2",37387,51,-71.20856947,62.29771399,844.8,185.19,-41.1,306.77472912,-65.96507849,1629693004,FALSE
"YOUTHSAT",37388,52,6.59715923,55.80187783,808.74,246.94,2.99,37.7183955,-20.93904584,1629693006,FALSE
"SWAYAM",41607,52,23.85541747,-113.12593959,488,15.73,-67.81,291.54134968,3.95841472,1629693007,TRUE
"CARTOSAT 2AT",29710,52,33.87865631,-83.87431119,394.05,341.82,-62.19,305.92635438,9.0330888,1629693008,TRUE
"OCEANSAT 2",35931,52,81.48072127,-144.44977132,735.23,5.92,-35.75,291.56442583,36.5092895,1629693009,FALSE
