"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"INTEGRAL",27540,50,45.4677725,155.31206177,131690.17,47.19,18.92,236.55335856,45.32686673,1629788419,FALSE
"ASIASAT 4",27718,50,0.06001894,38.17823769,35779.64,250.7,40.1,109.77613917,-2.76412615,1629788420,FALSE
"INMARSAT 4-F1",28628,50,-0.54819083,143.5344528,35780.18,98.45,15.16,229.0579669,-3.20795384,1629788421,FALSE
"CUBESAT XI-V",28895,50,-28.67939593,-65.37047808,681.07,244.94,-71.64,354.31034611,-24.40627692,1629788422,TRUE
"PAKSAT 1R",37779,50,-0.0067954,38.04353548,35776.96,250.7,39.93,109.63869694,-2.83820671,1629788423,FALSE
"NIGERIASAT X",37790,50,-78.03837171,-109.40873247,735,178.12,-57.91,334.52507982,-49.57430681,1629788424,FALSE
"INTELSAT 20",38740,50,0.01442172,68.49307008,35778.89,210.56,66.62,144.4305373,-2.87957081,1629788425,FALSE
"SOCRATES",39768,50,62.21402429,90.71133518,626.27,7.98,-16.5,322.71140391,55.09348485,1629788426,FALSE
"TESS",43435,50,-6.72200251,-10.11647753,315724.41,263.17,-1.8,66.42528205,-7.10494429,1629788427,FALSE
"KEPLER-2 (TARS)",46319,50,-45.1717269,-121.7142383,551.17,152.8,-73.18,327.08604556,-32.23657682,1629788428,TRUE
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,50,22.28107352,81.70692586,423.34,31.4,29.72,224.43238823,59.43984505,1629790203,FALSE
"MARS ORBITER MISSION",39370,51,270,-175.32061773,-6399.59,0,-89.89,343.50726502,-17.3816137,1629790204,FALSE
"RESOURCESAT 2",37387,52,-66.25425939,23.56174268,843.38,199.4,-43.2,12.02521673,-59.5187022,1629790205,FALSE
"YOUTHSAT",37388,52,1.33832446,9.98675751,810.78,264.74,-29.58,46.23839232,-12.94593485,1629790207,FALSE
"SWAYAM",41607,52,78.80810496,165.2340903,490.96,11.78,-33.32,331.01666768,37.92882567,1629790208,FALSE
"CARTOSAT 2AT",29710,52,72.42013353,-149.23690004,456.2,13.02,-40.3,331.99707411,30.92140316,1629790209,FALSE
"OCEANSAT 2",35931,52,-20.50113947,62.94294024,730.07,202.68,-12.1,84.35103524,-67.43196915,1629790210,FALSE
"IRNSS-1A",39199,52,23.99146787,50.55331239,35833.27,288.95,58.59,130.66910244,24.68316906,1629790211,FALSE
"INS-1A",41949,53,-19.64028315,-144.84109232,498.27,99.87,-68.68,321.17006157,-19.86190899,1629790212,TRUE
"KALAMSAT-V2/PSLV",43948,52,34.57478054,93.78961282,443.96,35.68,-1.14,277.98754776,50.3099655,1629790214,FALSE
"CHINASAT 2E",49062,52,-10.42313118,-47.28687639,534.04,270.13,-62.37,12.26359388,-15.37776822,1629790215,TRUE
"COSMOS 2550",48865,51,43.23176588,89.26447557,473.11,17.31,-5.36,305.52148717,61.52988701,1629790217,FALSE
"CHALLENGEONE",47956,51,13.52413538,49.87257071,545.57,266.15,-4.5,70.467201,-5.18051232,1629790218,FALSE
"CALSPHERE 1",900,51,-60.72390318,-49.48772073,1016.51,207.64,-59.42,2.52086177,-43.55792281,1629790219,FALSE
"HISPASAT 1D",27528,50,-1.12529054,-143.01943952,35804.96,72.79,-51.5,307.01901914,-3.39156724,1629790221,FALSE
"INTEGRAL",27540,51,45.11676901,148.13103127,130337.09,47.66,24.03,236.81297247,45.19148914,1629790222,FALSE
"ASIASAT 4",27718,50,0.09100569,38.18057211,35778.96,250.74,40.11,117.31131017,-2.71518841,1629790223,FALSE
"INMARSAT 4-F1",28628,50,-0.9841094,143.52431181,35781.77,98.9,15.02,236.57961982,-3.67851945,1629790224,FALSE
"CUBESAT XI-V",28895,49,78.32810893,-120.34289836,691.56,3.78,-38.64,340.10498019,33.73416764,1629790225,FALSE
"PAKSAT 1R",37779,49,-0.00558435,38.046652,35777.93,250.7,39.93,117.17505956,-2.82229722,1629790226,FALSE
"NIGERIASAT X",37790,49,28.19049552,-162.09024096,698.34,52.96,-50.67,312.92591463,7.54257804,1629790227,TRUE
"INTELSAT 20",38740,50,0.0200809,68.49566614,35778.45,210.56,66.63,151.96590008,-2.86475855,1629790228,FALSE
"SOCRATES",39768,48,-47.88937842,59.33104007,637.86,193.86,-29.67,27.25829282,-72.47179847,1629790230,FALSE
"TESS",43435,49,-6.65041353,-17.41678224,316564.55,265.37,-8.7,66.67309589,-7.01539546,1629790231,FALSE
"KEPLER-2 (TARS)",46319,49,67.05692158,-154.76291965,540.33,18.29,-41.11,327.95675558,28.96128414,1629790232,FALSE
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,49,-51.72891534,178.77054452,437.4,139.35,-53.68,319.63191866,-42.13939818,1629792004,TRUE
"MARS ORBITER MISSION",39370,48,270,177.15049162,-6399.59,360,-89.89,351.04095751,-17.38502275,1629792006,FALSE
"RESOURCESAT 2",37387,48,-5.81157371,-142.9764031,826.1,78.98,-67.59,328.55496047,-12.05207315,1629792007,TRUE
"YOUTHSAT",37388,48,-72.79282956,-149.53289519,849.04,165.42,-57.14,339.10188347,-48.89628058,1629792009,FALSE
"SWAYAM",41607,48,-16.2043526,15.44806477,495.17,245.34,-32.27,53.39656449,-29.77043972,1629792010,FALSE
"CARTOSAT 2AT",29710,47,-6.92661541,48.02335298,621.07,233.8,-11.78,79.57019002,-37.73894855,1629792011,FALSE
"OCEANSAT 2",35931,48,-50.17623698,-111.44084273,743.91,168.43,-72.31,346.81604414,-34.79781388,1629792012,TRUE
"IRNSS-1A",39199,48,26.54670915,50.8405043,35824.64,294.57,58.3,138.40805093,27.64551346,1629792013,FALSE
"INS-1A",41949,48,81.30178486,81.46042651,501.08,0.5,-28.55,350.41265979,43.92966395,1629792014,FALSE
"KALAMSAT-V2/PSLV",43948,48,-77.33654037,36.95346935,466.57,188.5,-47.19,2.47420278,-59.52587901,1629792015,FALSE
"CHINASAT 2E",49062,48,-22.09190842,32.76231326,6929.47,230.33,1.76,97.08655293,-36.83843697,1629792016,FALSE
"COSMOS 2550",48865,48,-58.33866739,147.71541339,480.56,150.32,-45.33,315.88035418,-52.77861436,1629792017,FALSE
"CHALLENGEONE",47956,48,52.46043501,-125.92923856,546.23,15.31,-51.84,341.1605398,19.42533147,1629792018,TRUE
"CALSPHERE 1",900,48,42.1195688,-57.45061468,1010.19,327.09,-50.97,11.94092713,15.6655707,1629792020,FALSE
"HISPASAT 1D",27528,47,-1.35166635,-143.02804605,35806.03,73.09,-51.57,314.53240661,-3.60633573,1629792021,FALSE
"INTEGRAL",27540,47,44.7580801,140.96466526,128924.9,47.66,29.19,237.01841157,45.04269035,1629792022,FALSE
"ASIASAT 4",27718,47,0.12038103,38.18313753,35778.39,250.78,40.13,124.83414561,-2.66902023,1629792023,FALSE
"INMARSAT 4-F1",28628,47,-1.40237123,143.5155231,35783.43,99.34,14.88,244.0905667,-4.13148016,1629792024,FALSE
"CUBESAT XI-V",28895,47,-11.04809264,93.61636484,697.13,151.03,-5.81,242.20460149,-59.27755285,1629792025,FALSE
"PAKSAT 1R",37779,47,-0.0042795,38.04938901,35779.05,250.7,39.94,124.69839852,-2.80725135,1629792026,FALSE
"NIGERIASAT X",37790,47,41.57988218,21.74259104,695.85,309.13,-21.13,45.35700201,26.98137584,1629792027,FALSE
"INTELSAT 20",38740,47,0.02539527,68.49839039,35778.15,210.56,66.64,159.48883837,-2.85218697,1629792028,FALSE
"SOCRATES",39768,47,-20.58939152,-116.46015769,618.44,104.35,-82.45,343.39496634,-19.24200444,1629792029,TRUE
"TESS",43435,48,-6.57927065,-24.69812233,317396.05,267.53,-15.58,66.9361335,-6.92707084,1629792030,FALSE
"KEPLER-2 (TARS)",46319,49,-1.58864052,35.51224918,534.09,250.37,-17.82,68.84089696,-23.33874511,1629792031,FALSE
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,49,18.41145076,-79.54993515,420.82,327.81,-68.4,9.84776197,0.98173764,1629793804,TRUE
"MARS ORBITER MISSION",39370,49,270,169.62995741,-6399.59,0,-89.89,358.56638554,-17.38637748,1629793806,FALSE
"RESOURCESAT 2",37387,49,76.27496143,66.86182765,832.75,356.8,-23.48,2.96445375,48.88196213,1629793807,FALSE
"YOUTHSAT",37388,49,31.45393702,169.65223683,810.92,59.52,-37.09,313.94721326,11.76574486,1629793808,FALSE
"SWAYAM",41607,48,-49.45828652,-161.42009904,514.64,137.87,-60.14,333.60573648,-37.82702228,1629793810,TRUE
"CARTOSAT 2AT",29710,47,-60.36047689,-124.535337,489.4,164.28,-66.22,350.38766941,-40.22032227,1629793812,TRUE
"OCEANSAT 2",35931,47,57.27999194,-142.00695085,732,20.82,-46.43,343.11053453,23.33428651,1629793813,FALSE
"IRNSS-1A",39199,47,28.65854778,51.4547143,35815.29,299.34,58.22,146.53960154,30.11067493,1629793815,FALSE
"INS-1A",41949,47,-29.47228348,13.40444666,491.79,233.96,-36.53,55.41719627,-39.00222278,1629793816,FALSE
"KALAMSAT-V2/PSLV",43948,48,16.19436647,-109.86645865,445.15,14.21,-72.12,354.29375824,-0.15729748,1629793817,TRUE
"CHINASAT 2E",49062,47,-16.01785829,51.9977497,13752.52,219.54,32.09,141.11830537,-27.6115931,1629793819,FALSE
"COSMOS 2550",48865,47,2.22789136,-81.77178716,467.77,313.41,-75.65,9.07213103,-7.43266093,1629793820,TRUE
"CHALLENGEONE",47956,47,-59.36388019,-156.19180125,588.26,150.22,-60,338.97108203,-42.35674357,1629793822,TRUE
"CALSPHERE 1",900,47,34.96713859,115.27829413,977.53,54.55,-6.59,287.95547373,31.06995432,1629793823,FALSE
"HISPASAT 1D",27528,47,-1.55515888,-143.03566085,35806.76,73.36,-51.64,322.05947008,-3.79915392,1629793824,FALSE
"INTEGRAL",27540,47,44.38988772,133.78947071,127447.6,47.1,34.4,237.17137845,44.87568134,1629793825,FALSE
"ASIASAT 4",27718,46,0.14775012,38.18590052,35777.97,250.81,40.15,132.37386452,-2.62624291,1629793827,FALSE
"INMARSAT 4-F1",28628,46,-1.79737415,143.50871854,35785.14,99.74,14.75,251.62070507,-4.56078412,1629793828,FALSE
"CUBESAT XI-V",28895,46,-58.40824035,-79.07488213,697.27,196.82,-66.82,7.15651923,-39.51032384,1629793830,TRUE
"PAKSAT 1R",37779,45,-0.00289568,38.05170721,35780.31,250.7,39.94,132.24627606,-2.79325557,1629793832,FALSE
"NIGERIASAT X",37790,45,-66.57745235,-11.52905942,730.79,204.59,-50.7,23.75104409,-51.43293136,1629793833,FALSE
"INTELSAT 20",38740,46,0.03029869,68.50120904,35777.98,210.56,66.64,167.03692509,-2.84201651,1629793834,FALSE
"SOCRATES",39768,47,82.07093933,133.70664819,626.79,7.04,-30.21,350.50299118,41.77584159,1629793836,FALSE
"TESS",43435,48,-6.50805782,-32.01309725,318224.92,269.74,-22.49,67.21570227,-6.83956362,1629793837,FALSE
"KEPLER-2 (TARS)",46319,49,-63.7847395,-136.43780856,558.5,161.16,-62.88,347.18027327,-42.79465185,1629793842,TRUE
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,50,30.4514827,50.08554163,424.55,301.98,-7.36,77.59507998,27.59444687,1629795604,FALSE
"MARS ORBITER MISSION",39370,50,270,162.10942303,-6399.59,360,-89.89,6.09182676,-17.38565949,1629795606,FALSE
"RESOURCESAT 2",37387,51,-27.31058634,16.66701509,827.41,234.48,-32.8,67.73943499,-38.89583671,1629795607,FALSE
"YOUTHSAT",37388,51,40.6788305,-5.49729046,807.37,308.33,-32.68,50.57494807,19.66217524,1629795609,FALSE
"SWAYAM",41607,50,63.79532531,167.6355845,489.88,27.43,-34.29,339.38839929,31.96405296,1629795610,FALSE
"CARTOSAT 2AT",29710,50,55.43808788,-157.53590618,424.88,28.19,-44.94,344.87446508,22.45523938,1629795612,TRUE
"OCEANSAT 2",35931,49,12.90154417,45.44267362,723.75,266.71,-5.53,91.80398319,-4.66374226,1629795613,FALSE
"IRNSS-1A",39199,47,30.26525743,52.36517307,35805.35,303.25,58.42,155.03843361,32.00783699,1629795616,FALSE
"INS-1A",41949,47,-35.92762591,-164.67032566,503.17,121.66,-59.64,336.09321203,-30.86663424,1629795617,TRUE
"KALAMSAT-V2/PSLV",43948,47,47.35891073,74.8195227,447.18,355.04,-7.88,17.32315879,64.12042839,1629795618,FALSE
"CHINASAT 2E",49062,47,-11.53312099,57.62822749,19262.81,216.96,44.28,158.94506857,-19.61473868,1629795620,FALSE
"COSMOS 2550",48865,47,54.98151241,52.96024236,476.82,338.39,-15.88,39.88174133,50.37413775,1629795621,FALSE
"CHALLENGEONE",47956,46,-7.57714732,30.17387194,553.64,246.6,-22.23,79.73851348,-27.7217542,1629795623,FALSE
"CALSPHERE 1",900,45,-68.81397085,107.21472928,1001.95,169.92,-40.1,347.0844029,-65.79402294,1629795625,FALSE
"HISPASAT 1D",27528,45,-1.73177957,-143.04211935,35807.13,73.6,-51.7,329.58360824,-3.96624662,1629795626,FALSE
"INTEGRAL",27540,45,44.01215315,126.61776501,125906.3,45.87,39.59,237.27342653,44.68634425,1629795628,FALSE
"ASIASAT 4",27718,44,0.17254669,38.18880455,35777.68,250.84,40.16,139.90534959,-2.58774254,1629795629,FALSE
"INMARSAT 4-F1",28628,44,-2.16096555,143.50442095,35786.87,100.12,14.63,259.1454822,-4.95759374,1629795630,FALSE
"CUBESAT XI-V",28895,43,50.44388011,-109.66325382,680.91,5.59,-54.01,2.74176074,18.30540296,1629795632,FALSE
"PAKSAT 1R",37779,44,-0.00146414,38.05354763,35781.68,250.7,39.94,139.77267471,-2.78063583,1629795633,FALSE
"NIGERIASAT X",37790,45,-3.1833256,-179.9194651,703.48,89.47,-48.58,323.52019112,-12.73415436,1629795635,TRUE
"INTELSAT 20",38740,46,0.03467884,68.50405745,35777.95,210.56,66.65,174.56832183,-2.83448298,1629795636,FALSE
"SOCRATES",39768,47,-22.55353873,42.27521683,628.56,223.01,-21.33,83.65558165,-49.31521894,1629795637,FALSE
"TESS",43435,48,-6.43728538,-39.30906496,319045.19,272.04,-29.37,67.50895175,-6.75370947,1629795639,FALSE
"KEPLER-2 (TARS)",46319,49,48.10185941,-167.69168055,536.96,37.77,-43.82,338.23144388,19.57410416,1629795640,TRUE
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,49,-49.75067602,138.37718756,436.9,145.68,-40.65,328.93559239,-52.5580247,1629797405,FALSE
"MARS ORBITER MISSION",39370,50,270,154.58888866,-6399.59,360,-89.89,13.61719657,-17.38288112,1629797406,FALSE
"RESOURCESAT 2",37387,49,-45.53881534,-157.50494279,838.69,133.89,-61.25,348.43406497,-35.60295892,1629797408,TRUE
"YOUTHSAT",37388,49,-64.50795734,-38.0851504,844.6,205.78,-56.4,34.16724126,-46.49458078,1629797409,FALSE
"SWAYAM",41607,49,0.51359349,-4.88107627,488.79,268.6,-39.38,65.83636525,-11.9768957,1629797411,FALSE
"CARTOSAT 2AT",29710,48,10.05132793,27.86484506,610.55,268.55,-19.14,85.71881855,-6.87302343,1629797415,FALSE
"OCEANSAT 2",35931,48,-79.9215279,-89.28966779,752.21,182.41,-56.79,15.80934964,-50.6864619,1629797416,FALSE
"IRNSS-1A",39199,47,31.31678697,53.51097097,35794.96,306.27,58.96,163.85377131,33.27633052,1629797418,FALSE
"INS-1A",41949,48,76.37383895,150.80135708,502.09,13.97,-31.39,358.12888455,39.2705677,1629797419,FALSE
"KALAMSAT-V2/PSLV",43948,48,-66.34989829,37.11212555,463.67,195.48,-42.63,38.18607802,-61.62908114,1629797420,FALSE
"CHINASAT 2E",49062,48,-8.18498136,58.68243978,23698.82,219.03,50.01,168.98184684,-14.22385143,1629797422,FALSE
"COSMOS 2550",48865,47,-47.36070432,109.19073659,476.76,158.31,-32.27,324.80742467,-65.52272166,1629797424,FALSE
"CHALLENGEONE",47956,46,72.45770597,-133.68985914,546.66,9.28,-41.44,5.65758448,30.46665341,1629797426,FALSE
"CALSPHERE 1",900,47,-8.5996943,-79.86819309,1010.19,290.19,-77.71,25.53135463,-12.94585603,1629797427,FALSE
"HISPASAT 1D",27528,47,-1.87860742,-143.04736905,35807.15,73.8,-51.75,337.1090005,-4.10485537,1629797428,FALSE
"INTEGRAL",27540,47,43.62436024,119.45396231,124300.47,43.79,44.7,237.32755005,44.47036746,1629797430,FALSE
"ASIASAT 4",27718,47,0.19438571,38.19180326,35777.55,250.87,40.17,147.44109398,-2.55411721,1629797432,FALSE
"INMARSAT 4-F1",28628,47,-2.48749976,143.50291584,35788.58,100.45,14.51,266.67767842,-5.31577243,1629797433,FALSE
"CUBESAT XI-V",28895,47,18.98838394,75.43651516,693.95,299.53,59.15,162.737426,30.49155907,1629797434,FALSE
"PAKSAT 1R",37779,47,-3.24e-06,38.05488222,35783.15,250.7,39.95,147.30681493,-2.76955659,1629797436,FALSE
"NIGERIASAT X",37790,47,71.77069499,17.03937462,700.33,342.25,-27.73,34.80499986,41.65121903,1629797437,FALSE
"INTELSAT 20",38740,47,0.03847329,68.5068936,35778.06,210.56,66.66,182.10388147,-2.82968937,1629797439,FALSE
"SOCRATES",39768,48,-45.71162576,-133.87021875,630.02,143.29,-69.64,359.39315486,-33.25979095,1629797441,TRUE
"TESS",43435,49,-6.36671434,-46.61029476,319859.64,274.56,-36.23,67.81570784,-6.66939391,1629797442,FALSE
"KEPLER-2 (TARS)",46319,49,17.64940988,15.54784164,532.34,280.67,-25.86,75.96381538,1.67826065,1629797444,FALSE
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,49,9.68503645,-109.89205547,420.27,17.58,-75.37,16.72061742,-3.53229797,1629799205,TRUE
"MARS ORBITER MISSION",39370,50,270,147.06835445,-6399.59,0,-89.89,21.14241159,-17.37809014,1629799206,FALSE
"RESOURCESAT 2",37387,50,59.45556208,171.30489171,831.53,31.56,-33.86,350.78880371,30.42755169,1629799207,FALSE
"YOUTHSAT",37388,50,-7.95681686,153.45065198,818.98,102.17,-34.87,322.76034893,-19.76459219,1629799209,TRUE
"SWAYAM",41607,50,-65.6648985,-176.16734404,521.56,154.41,-54.63,359.31422484,-48.01840117,1629799210,TRUE
"CARTOSAT 2AT",29710,50,-76.68092462,-125.49846695,529.24,173.78,-58.52,16.32470766,-48.73616347,1629799211,TRUE
"OCEANSAT 2",35931,51,24.07692213,-155.172467,726.29,53.19,-54.6,353.40750356,4.88333441,1629799212,TRUE
"IRNSS-1A",39199,50,31.77453301,54.796329,35784.32,308.32,59.84,172.85049896,33.86520676,1629799214,FALSE
"INS-1A",41949,51,-12.72080111,-6.61010682,486.2,256.57,-42.46,71.64720014,-21.40796537,1629799215,FALSE
"KALAMSAT-V2/PSLV",43948,51,2.99914681,-130.25249859,445.31,56.9,-71.92,5.99302959,-7.16610482,1629799217,TRUE
"CHINASAT 2E",49062,51,-5.51242576,57.61266666,27244.24,223.85,52.61,175.85090661,-10.29085965,1629799218,FALSE
"COSMOS 2550",48865,51,-11.60571556,-110.39561347,468.83,56.49,-84.59,16.53312736,-14.48581438,1629799220,TRUE
"CHALLENGEONE",47956,50,-38.51073309,-171.85045786,576.72,124.7,-56.46,348.24540765,-33.38537368,1629799222,TRUE
"CALSPHERE 1",900,51,86.13260996,95.0178057,1002.99,1.18,-28.45,19.72822078,44.01580092,1629799223,FALSE
"HISPASAT 1D",27528,51,-1.99278652,-143.05142761,35806.8,73.95,-51.78,344.61050523,-4.21229061,1629799224,FALSE
"INTEGRAL",27540,52,43.22708139,112.32234525,122634.39,40.64,49.62,237.33790623,44.22428847,1629799225,FALSE
"ASIASAT 4",27718,51,0.21280119,38.19482794,35777.56,250.89,40.19,154.94343297,-2.52608299,1629799227,FALSE
"INMARSAT 4-F1",28628,52,-2.76996787,143.50426568,35790.24,100.74,14.41,274.17968204,-5.6276515,1629799228,FALSE
"CUBESAT XI-V",28895,52,-81.97501036,-24.68288144,709.03,188.33,-52.47,30.03447747,-54.42886968,1629799229,FALSE
"PAKSAT 1R",37779,51,0.00145467,38.05567876,35784.67,250.7,39.95,154.80688977,-2.76025993,1629799231,FALSE
"NIGERIASAT X",37790,52,-35.57343765,-21.04438211,714.99,237.55,-51.59,60.28938259,-33.5368753,1629799232,FALSE
"INTELSAT 20",38740,52,0.04159971,68.5096527,35778.3,210.55,66.66,189.60176566,-2.82772646,1629799233,FALSE
"SOCRATES",39768,52,64.003989,-165.81340312,622.22,23.43,-39.66,0.75681253,28.75647084,1629799235,FALSE
"TESS",43435,52,-6.29673198,-53.87626492,320663.81,277.4,-43.02,68.13288873,-6.58722059,1629799236,FALSE
"KEPLER-2 (TARS)",46319,52,-81.06144977,-118.13218737,562.41,177.15,-56.57,18.8797189,-50.86864935,1629799237,FALSE
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,50,38.00644062,16.82850298,425.99,304.36,-25.25,81.694231,21.08496072,1629801003,FALSE
"MARS ORBITER MISSION",39370,51,270,139.55199813,-6399.59,0,-89.89,28.6632112,-17.37137324,1629801005,FALSE
"RESOURCESAT 2",37387,51,12.80702584,0.61426904,819.55,278.99,-32.89,84.74418506,-2.08239617,1629801006,FALSE
"YOUTHSAT",37388,51,77.84228717,7.54798269,812.42,347.64,-29.6,42.91737406,41.47854207,1629801007,FALSE
"SWAYAM",41607,52,47.26862043,152.18017899,488.15,45.43,-29.98,345.48966056,25.36029785,1629801008,FALSE
"CARTOSAT 2AT",29710,52,37.25609699,-174.50815499,400.36,49.7,-44.55,354.69556815,13.16198662,1629801009,TRUE
"OCEANSAT 2",35931,52,46.42148953,29.81386247,728.38,316.89,-18.01,80.81949367,34.80910818,1629801011,FALSE
"IRNSS-1A",39199,52,31.625133,56.1168812,35773.56,309.29,61.05,181.93797761,33.75116985,1629801012,FALSE
"INS-1A",41949,53,-52.62382144,177.15130784,508.47,140.37,-52.97,357.0759717,-43.07175781,1629801013,TRUE
"KALAMSAT-V2/PSLV",43948,54,60.41933263,58.46220436,450.64,346.21,-18.04,50.09973883,51.99262965,1629801014,FALSE
"CHINASAT 2E",49062,55,-3.24884791,55.38067451,30045.81,230.06,53.27,181.15027435,-7.18371538,1629801015,FALSE
"COSMOS 2550",48865,55,64.35826517,6.13179372,479.59,333.24,-30.28,57.23734425,35.7422943,1629801016,FALSE
"CHALLENGEONE",47956,55,-29.26278577,10.93061619,566.56,235.15,-37.16,84.81350822,-38.01049641,1629801017,FALSE
"CALSPHERE 1",900,56,-17.09975333,85.05419291,973.59,168.95,-4.82,250.29665554,-73.3400988,1629801018,FALSE
"HISPASAT 1D",27528,56,-2.07286408,-143.0544192,35806.11,74.06,-51.81,352.10884732,-4.28719237,1629801019,FALSE
"INTEGRAL",27540,56,42.81796677,105.19556723,120900.34,36.07,54.24,237.30983453,43.94309142,1629801020,FALSE
"ASIASAT 4",27718,56,0.22757431,38.19783555,35777.72,250.91,40.2,162.44157281,-2.50397054,1629801021,FALSE
"INMARSAT 4-F1",28628,57,-3.00494596,143.50830058,35791.82,100.97,14.32,281.68048326,-5.88946754,1629801022,FALSE
"CUBESAT XI-V",28895,57,19.39386693,-125.14335169,671.84,33.32,-67.12,16.38350616,1.84993362,1629801023,TRUE
"PAKSAT 1R",37779,57,0.0028911,38.05592623,35786.22,250.7,39.95,162.30214026,-2.75285446,1629801025,FALSE
"NIGERIASAT X",37790,58,-35.45097296,162.84247271,718.06,125.22,-45.03,342.52887338,-37.03956392,1629801026,TRUE
"INTELSAT 20",38740,58,0.04402467,68.51230112,35778.68,210.55,66.66,197.09954675,-2.82859739,1629801027,FALSE
"SOCRATES",39768,58,4.00673664,23.63633517,622.28,262.76,-22.58,98.86494391,-12.95717265,1629801028,FALSE
"TESS",43435,58,-6.22698296,-61.14339942,321461.79,280.78,-49.75,68.46053407,-6.5068821,1629801030,FALSE
"KEPLER-2 (TARS)",46319,58,27.66108808,174.29230502,533.83,61.98,-41.07,346.49974047,7.99131421,1629801031,TRUE
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,0,44.37756865,-18.45144801,427.32,314.23,-39.29,87.03412494,19.04171116,1629806404,FALSE
"MARS ORBITER MISSION",39370,1,270,116.99039517,-6399.59,360,-89.89,51.23600398,-17.34094108,1629806405,FALSE
"RESOURCESAT 2",37387,2,52.55946108,-12.4728684,827.16,321.27,-34.07,86.58066836,26.73914766,1629806406,FALSE
"YOUTHSAT",37388,3,58.19947658,108.63993316,812.11,21.51,-15.32,16.84774154,50.89827535,1629806407,FALSE
"SWAYAM",41607,4,30.60384399,133.2656986,487.15,64.43,-21.26,350.20260718,15.80573014,1629806408,TRUE
"CARTOSAT 2AT",29710,5,18.97186293,166.28963989,387.71,72.42,-39.3,3.64015794,1.77434097,1629806409,TRUE
"OCEANSAT 2",35931,6,77.68093432,40.16482694,734.6,351.44,-26.56,61.94462241,45.23710787,1629806410,FALSE
"IRNSS-1A",39199,7,27.66965581,59.21181089,35742.5,303.5,65.95,208.35825749,29.27337386,1629806412,FALSE
"INS-1A",41949,8,-68.67414859,164.10087305,512.21,157.83,-50.67,28.36194408,-52.40716904,1629806413,TRUE
"KALAMSAT-V2/PSLV",43948,9,72.57843585,49.61899881,453.36,350.11,-25.29,64.02504249,46.20770683,1629806414,FALSE
"CHINASAT 2E",49062,10,2.29102025,45.48502283,34694.2,248.72,48.35,192.9890747,-0.28445584,1629806416,FALSE
"COSMOS 2550",48865,11,67.11265586,-52.56360768,480.54,342.87,-42.02,65.57729199,28.46431359,1629806417,FALSE
"CHALLENGEONE",47956,12,-50.26494388,-6.68350026,580.39,220.58,-48.1,89.20717305,-44.97820654,1629806418,FALSE
"CALSPHERE 1",900,13,34.50334094,62.65181991,977.21,323.38,8.87,132.35469942,53.57104811,1629806419,FALSE
"HISPASAT 1D",27528,14,-2.09777418,-143.05891214,35802.05,74.1,-51.82,14.67871754,-4.30674693,1629806421,FALSE
"INTEGRAL",27540,15,41.50516701,83.78252399,115253.49,9.6,64.14,237.05889249,42.84564332,1629806422,FALSE
"ASIASAT 4",27718,16,0.24791936,38.20624844,35779.06,250.93,40.22,185.01894168,-2.4763147,1629806423,FALSE
"INMARSAT 4-F1",28628,17,-3.39061564,143.53206601,35795.89,101.36,14.16,304.2788072,-6.33649549,1629806424,FALSE
"CUBESAT XI-V",28895,18,-11.26508253,-143.19815626,674.12,86.91,-68.54,29.08847518,-15.15574906,1629806425,TRUE
"PAKSAT 1R",37779,19,0.0068548,38.05332077,35790.87,250.71,39.95,184.863416,-2.74303031,1629806426,FALSE
